ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
384,100077,2011-09-26,5,15,18,19,24,37,6
385,100078,2011-09-29,1,15,33,34,36,37,8
386,100079,2011-10-03,1,4,13,16,27,35,8
387,100080,2011-10-06,12,14,18,20,24,27,2
388,100081,2011-10-10,8,9,19,20,25,34,2
389,100082,2011-10-13,6,17,18,25,27,34,6
390,100083,2011-10-17,10,19,29,33,36,37,1
391,100084,2011-10-20,5,20,22,26,30,38,4
392,100085,2011-10-24,2,12,15,25,30,31,6
393,100086,2011-10-27,5,10,12,16,23,28,7
394,100087,2011-10-31,6,8,14,20,23,27,3
395,100088,2011-11-03,13,22,26,27,36,37,5
396,100089,2011-11-07,1,8,23,26,27,34,3
397,100090,2011-11-10,8,19,23,27,32,35,8
398,100091,2011-11-14,11,18,20,21,24,34,5
399,100092,2011-11-17,1,3,13,14,24,30,6
400,100093,2011-11-21,11,12,13,14,25,32,8
401,100094,2011-11-24,4,5,13,16,32,37,7
402,100095,2011-11-28,4,9,18,20,33,35,4
403,100096,2011-12-01,3,16,19,26,31,35,3
404,100097,2011-12-05,4,6,9,21,32,33,2
405,100098,2011-12-08,2,5,8,21,35,37,8
406,100099,2011-12-12,7,10,19,21,27,31,5
407,100100,2011-12-15,1,7,9,27,28,29,2
408,100101,2011-12-19,6,10,14,25,29,35,3
409,100102,2011-12-22,4,11,13,20,22,23,2
410,100103,2011-12-26,1,9,17,19,24,35,5
411,100104,2011-12-29,3,4,7,10,15,19,5
412,101001,2012-01-02,6,10,11,26,27,30,4
413,101002,2012-01-05,10,15,18,28,31,32,4
414,101003,2012-01-09,2,9,25,27,30,34,5
415,101004,2012-01-12,3,15,21,23,30,32,7
416,101005,2012-01-16,7,11,18,33,36,37,6
417,101006,2012-01-19,3,7,8,11,13,18,6
418,101007,2012-01-23,6,8,23,24,29,36,8
419,101008,2012-01-26,2,4,9,16,19,38,1
420,101009,2012-01-30,11,17,18,20,27,38,5
421,101010,2012-02-02,1,3,4,8,14,29,7
422,101011,2012-02-06,4,7,14,20,23,38,3
423,101012,2012-02-09,6,12,20,25,28,37,8
424,101013,2012-02-13,4,9,15,24,29,35,8
425,101014,2012-02-16,7,16,23,24,29,34,5
426,101015,2012-02-20,1,2,9,12,14,22,2
427,101016,2012-02-23,8,13,19,30,35,37,7
428,101017,2012-02-27,3,4,10,12,20,23,4
429,101018,2012-03-01,1,4,7,9,15,16,6
430,101019,2012-03-05,6,11,15,21,26,27,3
431,101020,2012-03-08,9,11,12,23,28,37,4
432,101021,2012-03-12,3,9,13,22,23,37,1
433,101022,2012-03-15,4,12,17,20,29,37,3
434,101023,2012-03-19,9,17,18,21,26,34,1
435,101024,2012-03-22,10,12,14,15,34,35,6
436,101025,2012-03-26,1,3,12,21,23,25,2
437,101026,2012-03-29,8,15,17,22,26,32,1
438,101027,2012-04-02,1,11,15,18,29,38,1
439,101028,2012-04-05,8,9,23,32,35,36,7
440,101029,2012-04-09,1,10,19,21,24,31,5
