ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
173,98075,2009-09-17,6,32,24,22,31,3,6
174,98076,2009-09-21,16,7,33,9,10,4,7
175,98077,2009-09-24,2,33,6,34,30,14,2
176,98078,2009-09-28,22,7,13,16,12,8,7
177,98079,2009-10-01,18,27,19,38,21,6,4
178,98080,2009-10-05,4,22,8,16,33,19,1
179,98081,2009-10-08,32,1,21,13,26,20,7
180,98082,2009-10-12,34,10,22,4,38,16,2
181,98083,2009-10-15,28,7,31,10,25,14,1
182,98084,2009-10-19,4,25,2,21,30,12,7
183,98085,2009-10-22,5,19,35,18,7,30,8
184,98086,2009-10-26,9,3,12,32,24,4,5
185,98087,2009-10-29,12,11,20,27,16,19,4
186,98088,2009-11-02,20,23,10,8,11,14,6
187,98089,2009-11-05,36,21,5,3,31,23,6
188,98090,2009-11-09,29,38,32,18,1,24,5
189,98091,2009-11-12,19,22,28,3,6,35,3
190,98092,2009-11-16,30,23,10,18,15,34,7
191,98093,2009-11-19,26,5,10,35,22,21,6
192,98094,2009-11-23,29,16,26,15,2,1,4
193,98095,2009-11-26,21,13,30,36,24,20,3
194,98096,2009-11-30,1,28,10,17,6,19,1
195,98097,2009-12-03,18,22,30,24,17,25,5
196,98098,2009-12-07,4,25,12,38,34,5,1
197,98099,2009-12-10,28,19,23,12,11,22,4
198,98100,2009-12-14,10,20,16,4,17,5,6
199,98101,2009-12-17,23,19,28,20,16,26,1
200,98102,2009-12-21,20,3,15,23,29,17,8
201,98103,2009-12-24,37,18,35,32,20,14,7
202,98104,2009-12-28,12,17,34,25,15,10,5
203,98105,2009-12-31,25,32,22,29,27,14,1
204,99001,2010-01-04,27,30,32,20,13,25,7
205,99002,2010-01-07,37,26,33,36,20,1,5
206,99003,2010-01-11,34,25,23,26,21,15,3
207,99004,2010-01-14,22,2,27,1,32,7,4
208,99005,2010-01-18,9,26,25,38,11,24,4
209,99006,2010-01-21,17,36,10,16,29,4,8
210,99007,2010-01-25,10,14,27,24,34,7,2
211,99008,2010-01-28,17,35,3,6,27,16,2
212,99009,2010-02-01,19,5,3,29,38,31,7
213,99010,2010-02-04,10,38,20,17,16,25,4
214,99011,2010-02-08,7,19,12,16,21,17,6
215,99012,2010-02-11,19,18,6,34,16,13,1
216,99013,2010-02-15,12,23,26,28,29,2,5
217,99014,2010-02-18,2,36,11,24,4,14,6
218,99015,2010-02-22,23,17,24,34,3,11,5
219,99016,2010-02-25,38,33,9,37,26,32,1
220,99017,2010-03-01,10,3,19,37,12,14,4
221,99018,2010-03-04,10,38,18,16,34,24,5
222,99019,2010-03-08,5,9,27,30,33,3,6
223,99020,2010-03-11,35,14,17,37,19,16,8
224,99021,2010-03-15,12,18,32,13,36,30,5
225,99022,2010-03-18,20,11,7,32,18,26,5
226,99023,2010-03-22,35,11,2,4,14,36,1
227,99024,2010-03-25,26,23,27,19,37,33,3
228,99025,2010-03-29,11,37,36,31,23,28,3
229,99026,2010-04-01,24,31,23,14,16,27,7
230,99027,2010-04-05,37,19,26,20,18,2,8
231,99028,2010-04-08,20,36,23,7,25,2,3
232,99029,2010-04-12,11,30,8,33,34,12,2
233,99030,2010-04-15,1,37,30,19,6,24,1
234,99031,2010-04-19,13,1,3,6,29,38,3
235,99032,2010-04-22,37,16,8,30,29,21,2
236,99033,2010-04-26,3,21,8,38,33,35,1
237,99034,2010-04-29,10,28,21,29,12,16,3
238,99035,2010-05-03,1,4,16,33,27,9,5
239,99036,2010-05-06,30,3,11,32,13,23,6
240,99037,2010-05-10,28,26,23,17,29,18,1
241,99038,2010-05-13,31,11,23,7,34,14,4
242,99039,2010-05-17,1,35,2,3,29,33,5
243,99040,2010-05-20,38,12,13,35,14,19,2
244,99041,2010-05-24,1,24,29,16,12,3,7
245,99042,2010-05-27,16,8,20,36,7,6,1
246,99043,2010-05-31,17,1,8,4,34,30,4
247,99044,2010-06-03,30,34,33,9,21,4,2
248,99045,2010-06-07,14,22,21,28,3,24,5
249,99046,2010-06-10,17,27,38,9,28,20,6
250,99047,2010-06-15,15,24,7,33,3,16,3
251,99048,2010-06-17,1,13,5,22,6,27,8
252,99049,2010-06-21,30,38,22,27,1,9,1
253,99050,2010-06-24,14,34,36,32,12,19,3
254,99051,2010-06-28,27,7,10,3,22,34,1
255,99052,2010-07-01,4,3,19,14,6,11,6
256,99053,2010-07-05,37,18,25,35,1,3,5
257,99054,2010-07-08,22,24,29,23,6,25,3
258,99055,2010-07-12,27,17,1,3,20,25,1
259,99056,2010-07-15,22,11,14,29,23,2,7
260,99057,2010-07-19,12,38,19,16,15,26,6
261,99058,2010-07-22,5,35,8,16,14,37,3
262,99059,2010-07-26,36,31,27,5,14,34,4
263,99060,2010-07-29,8,18,38,36,14,21,8
264,99061,2010-08-02,24,22,21,3,17,5,7
265,99062,2010-08-05,37,14,22,27,29,24,6
266,99063,2010-08-09,7,18,14,31,4,35,7
267,99064,2010-08-12,38,8,35,15,3,4,3
268,99065,2010-08-16,36,31,14,22,3,20,8
269,99066,2010-08-19,22,34,20,2,4,25,1
270,99067,2010-08-23,15,18,13,22,27,9,2
271,99068,2010-08-26,38,15,22,1,13,8,8
272,99069,2010-08-30,29,13,21,1,22,23,1
273,99070,2010-09-02,17,14,33,9,28,15,4
274,99071,2010-09-06,34,36,7,32,30,5,6
275,99072,2010-09-09,4,17,16,24,34,22,2
276,99073,2010-09-13,24,33,8,18,7,12,7
277,99074,2010-09-16,20,4,13,10,35,26,2
278,99075,2010-09-20,9,19,13,28,6,36,6
279,99076,2010-09-23,3,32,12,34,7,15,7
280,99077,2010-09-27,20,8,24,22,33,36,2
281,99078,2010-09-30,35,14,11,32,9,31,7
282,99079,2010-10-04,18,10,4,32,20,35,1
283,99080,2010-10-07,6,5,32,28,1,17,2
284,99081,2010-10-11,8,21,10,34,11,22,6
285,99082,2010-10-14,37,35,5,25,20,29,2
286,99083,2010-10-18,38,23,11,28,4,21,5
287,99084,2010-10-21,14,11,38,29,18,19,5
288,99085,2010-10-25,11,33,10,16,37,23,3
289,99086,2010-10-28,15,23,26,25,20,32,7
290,99087,2010-11-01,29,2,10,13,12,18,4
291,99088,2010-11-04,36,20,28,3,1,33,5
292,99089,2010-11-08,38,10,28,36,5,33,6
293,99090,2010-11-11,36,17,24,22,4,28,6
294,99091,2010-11-15,11,8,37,25,22,7,7
295,99092,2010-11-18,5,23,17,28,38,14,2
296,99093,2010-11-22,23,21,28,8,27,24,2
297,99094,2010-11-25,38,5,18,25,7,36,7
298,99095,2010-11-29,33,30,29,27,25,20,2
299,99096,2010-12-02,22,15,19,32,3,28,6
300,99097,2010-12-06,7,18,20,19,28,1,8
301,99098,2010-12-09,4,12,1,19,11,3,8
302,99099,2010-12-13,12,36,7,27,10,9,4
303,99100,2010-12-16,28,25,18,7,32,4,5
304,99101,2010-12-20,29,1,2,20,38,7,7
305,99102,2010-12-23,1,31,19,7,10,4,5
306,99103,2010-12-27,28,16,31,23,32,3,8
307,99104,2010-12-30,31,24,1,38,29,33,3
308,100001,2011-01-03,38,12,36,6,20,2,6
309,100002,2011-01-06,26,20,27,3,11,22,3
310,100003,2011-01-10,36,17,28,33,29,35,8
311,100004,2011-01-13,6,28,18,34,7,1,6
312,100005,2011-01-17,2,30,31,1,19,25,4
313,100006,2011-01-20,4,22,25,10,31,1,8
314,100007,2011-01-24,33,32,18,14,10,21,7
315,100008,2011-01-27,11,24,35,3,2,19,2
316,100009,2011-01-31,10,32,28,31,4,21,7
317,100010,2011-02-03,29,10,37,16,23,8,2
318,100011,2011-02-07,20,32,38,4,15,6,3
